traveler_id,age,occupation,income,flexibility,trip_purpose,departure_location,arrival_location,origin_gps,destination_gps,trip_distance_miles,trip_duration_minutes,departure_time_window,arrival_time_window,flexibility_pickup_earlier,flexibility_dropoff_later
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,08:00-08:30,08:20-08:50,0,10
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,university,Union Square,"[37.7793, -122.4193]","[37.788, -122.4075]",1.2,10,12:00-12:30,12:10-12:40,10,30
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,Union Square,Golden Gate Park,"[37.788, -122.4075]","[37.7694, -122.4862]",4.5,25,14:00-14:30,14:25-14:55,10,30
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,Financial District,"[37.7516, -122.4482]","[37.7946, -122.3999]",5.0,30,07:30-08:00,08:00-08:30,0,10
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,Financial District,university,"[37.7946, -122.3999]","[37.7793, -122.4193]",1.5,10,15:00-15:30,15:10-15:40,0,10
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,university,Stonestown Galleria,"[37.7793, -122.4193]","[37.73, -122.475]",5.5,25,17:00-17:30,17:25-17:55,10,30
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,Stonestown Galleria,Presidio,"[37.73, -122.475]","[37.7989, -122.4662]",6.5,30,19:00-19:30,19:30-20:00,10,30
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,09:00-09:30,09:20-09:50,0,10
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",hiking,home,Lands End,"[37.7516, -122.4482]","[37.7802, -122.5117]",5.0,25,08:30-09:00,08:55-09:25,10,30
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,Lands End,Union Square,"[37.7802, -122.5117]","[37.788, -122.4075]",6.8,35,11:00-11:30,11:35-12:05,10,30
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,10:00-10:30,10:20-10:50,0,10
1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Golden Gate Park,"[37.7793, -122.4193]","[37.7694, -122.4862]",4.5,25,16:00-16:30,16:25-16:55,10,30
