2025-12-11 14:27:05,672 INFO    MainThread:3922524 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_setup.py:_flush():80] Configure stats pid to 3922524
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_setup.py:_flush():80] Loading settings from /mnt/home/zz564/.config/wandb/settings
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_setup.py:_flush():80] Loading settings from /mnt/home/zz564/LLMOR/llm-darp/ppo_loop/wandb/settings
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /mnt/home/zz564/LLMOR/llm-darp/ppo_loop/wandb/run-20251211_142705-kzyrycd9/logs/debug.log
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /mnt/home/zz564/LLMOR/llm-darp/ppo_loop/wandb/run-20251211_142705-kzyrycd9/logs/debug-internal.log
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_init.py:init():840] calling init triggers
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'num_envs': 500, 'total_episodes': 25000, 'customers_per_episode': 30, 'device': 'cpu', '_wandb': {}}
2025-12-11 14:27:05,673 INFO    MainThread:3922524 [wandb_init.py:init():888] starting backend
2025-12-11 14:27:06,270 INFO    MainThread:3922524 [wandb_init.py:init():891] sending inform_init request
2025-12-11 14:27:06,324 INFO    MainThread:3922524 [wandb_init.py:init():899] backend started and connected
2025-12-11 14:27:06,338 INFO    MainThread:3922524 [wandb_init.py:init():969] updated telemetry
2025-12-11 14:27:06,438 INFO    MainThread:3922524 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-11 14:27:06,967 INFO    MainThread:3922524 [wandb_init.py:init():1040] starting run threads in backend
2025-12-11 14:27:08,396 INFO    MainThread:3922524 [wandb_run.py:_console_start():2504] atexit reg
2025-12-11 14:27:08,396 INFO    MainThread:3922524 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-11 14:27:08,396 INFO    MainThread:3922524 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-11 14:27:08,396 INFO    MainThread:3922524 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-11 14:27:08,411 INFO    MainThread:3922524 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-11 17:10:52,451 INFO    wandb-AsyncioManager-main:3922524 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-11 17:10:52,453 INFO    wandb-AsyncioManager-main:3922524 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
